2203126709	2
2203126710	1273
2203126711	6164
2203126712	468
2203126713	11
2203126714	179
2203126715	1496
2203126716	101
2203126717	318
2203126718	292
2203126719	7774
2203126720	67
2203126722	2
2203126723	36
2203126724	751
2203126725	150
2203126727	22
2203126728	1102
2203126729	6
2203126730	231
2203126731	15
2203126732	265
2203126733	7
2203126735	18
2203126737	3
2203126738	7
2203126739	30
2203126740	2
2203126741	9
2203126744	4
2203126746	67
2203126748	2
2203126750	10
2203126752	11
2203126754	28
2203126758	2
2203126759	2
2203126769	24
2203126783	1
